Rom,Size
aa3010,0.55
aa5000,0.55
acedriv3,87.28
aerofgtsg,8.84
alien,108.39
area51,952.28
area51mx,1606.06
atronic,6.77
bbcb,0.27
bbh,883.49
bbh2sp,1757.78
bbhcotw,901.51
bbhsc,1164.37
bdrdown,195.32
beachspi,125.29
blitz,249.5
blitz2k,552.97
blitz99,693.71
bm1stmix,128.41
carnevil,2794.94
carnking,968.25
cfield,134.94
chocomk,60.6
cleoftp,57.92
clubkcyc,287.19
crtaxihr,316.55
cryptklr,159.45
cvs2,298.95
cvsgd,117.23
dygolf,62.63
gauntleg,2665.71
gdariusg,20.11
ggxx,242.3
ggxxac,247.21
ggxxrl,493.82
ggxxsla,241.72
gtfore05,4211.67
gtfore06,1029.38
gtfrk10m,840.96
gundmgd,134.36
gundmxgd,164.96
ikaruga,32.58
initd,326.69
initdexp,322.12
initdv2j,807.72
initdv3e,225.96
initdv3j,462.85
jdredd,809.21
jingystm,133.52
kinst,89.54
kinst2,125.52
kurucham,33.71
lupinsho,381.96
luptype,145.96
mawasunda,9.62
maxforce,1058.55
meltyb,384.46
meltybld,414.09
mok,132.03
monkeyba,74.55
primevah,864.9
primrag2,524.12
psyvar2,128.8
puyofev,283.48
radirgy,248.81
redearth,66.63
renaimj,604.59
senko,448.35
senkosp,229.74
sf2049te,1181.98
sfiii,33.54
sfiii2,37.7
sfiii3,118.2
sfrush,44.63
sfrushrk,98.65
sfz3ugd,104.16
shikgam2,103.21
sianniv,27.76
simpbowl,25.97
slashout,129.48
spkrbtl,139.38
sprtjam,116.43
takoron,44.63
tetkiwam,54.33
trgheart,163.76
trizeal,121.5
undefeat,143.02
vathlete,78.42
vf4,598.71
vf4evo,545.68
vf4tuned,1215.5
vstrik3,137.9
vtennis2,113.63
vtennis3,1724.95
vtennisg,44.59
wccf116,349.89
wccf1dup,1.04
wccf212e,490.87
wccf234j,521.46
wccf2chk,0.1
wccf310j,662.83
wccf322e,1277.03
wccf341j,1408.86
wccf400j,775.61
wccf420e,648.97
weddingr,12.34
wg3dh,174.36
wontame,89.15
wsbbgd,149.9
zgundm,468.79
zgundmdx,681.97
