Rom,Size (MB)
88games,0.72
flagrall,1.8
99lstwarb,0.08
99lstwark,0.08
99lstwar,0.08
99lstwara,0.08
5,0.03
005a,0.03
1on1gov,14.44
10yard85,0.06
10yardj,0.06
10yard,0.06
gtmro,4.12
gtmrb,3.95
gtmra,4.11
gtmr,3.95
119,0.03
cprogolf18,0.04
progolf,0.02
progolfa,0.02
18wheelr,106.4
18wheelrt,106.39
18wheelro,106.42
18wheels,106.4
18wheelu,106.39
19in1,2.28
1941j,1.38
1941u,1.35
1941,1.35
1941r1,1.35
1942b,0.1
1942iti,0.1
pc_1942,0.08
1942abl,0.1
1942a,0.1
1942,0.1
1942p,0.1
1942w,0.1
1943kai,0.3
1943b,0.29
1943bj,0.29
1943jah,0.29
1943j,0.29
1943ja,0.29
1943,0.29
1943u,0.29
1943ua,0.29
1943mii,0.3
1944,14.74
1944j,14.74
1944d,14.56
1944u,14.74
bgareggabl,4.03
1945kiiin,3.08
1945kiii,2.62
1945kiiio,2.96
1945kiiipt,3.03
spikes91,0.6
spikes91b,0.59
19xxar1,7.48
19xxa,7.48
19xxb,7.48
19xx,7.48
19xxh,7.48
19xxjr2,7.48
19xxjr1,7.48
19xxj,7.48
19xxd,7.16
19xxu,7.48
2spicy,1.4
2020bb,4.57
2020bba,4.57
2020bbh,4.57
280zzzap,0
280zzzapa,0
3countb,9.05
3on3dunk,9.01
bowl3d,0.01
tceptor2,0.3
39in1,2.36
3x3puzzl,1.54
3x3puzzla,1.81
4enraya,0.03
4enrayaa,0.03
4in1,0.07
4in1b,2.12
4in1a,2.11
4dwarrio,0.1
48in1a,2.41
48in1c,2.41
48in1b,2.8
48in1,2.39
500gp,38.44
60in1,3.44
600,0.01
64streetj,1.24
64streetja,1.24
64street,1.24
720gr1,0.61
720g,0.61
720r1,0.61
720r2,0.61
720r3,0.61
720,0.61
800fath,0.02
800fatha,0.02
9ballsht,1.23
9ballsht2,1.23
9ballsht3,1.23
9ballshtc,1.28
99bottles,0.36
mag_day,0.25
ad2083,0.04
abcopjd,1.43
abcopj,1.45
abcopd,1.43
abcop,1.45
ar_argh,0.77
abscam,0.02
ace,0
aceattac,0.46
aceattaca,0.44
acedriv3,2.26
acedrive,7.43
victlapj,11.47
victlap,11.47
victlapa,11.47
acrobatm,1.63
acrobatmbl,1.01
dogfgt,0.09
dogfgtu,0.09
nss_actr,0.57
actfancrj,0.44
actfancr1,0.44
actfancr2,0.44
actfancr,0.44
afighter,0.38
afighterd,0.38
afighterc,0.38
afighterh,0.38
afighterf,0.38
afighterg,0.38
afightere,0.3
afighterb,0.3
afightera,0.3
actionhw,1.26
spacfurybl,0.02
aerfboot,1.64
aerfboo2,2.01
aerofgtb,2
aerofgtc,2
aerofgt,1.99
sonicwi2,7.06
sonicwi3,10.68
aerofgtst,8.3
aerofgts,8.3
aerofgtsg,0.75
aeroboto,0.04
aerolitos,0.01
aerolitol,0.01
aburner,1.45
mt_aftrb,0.23
abclimax,1.4
aburner2,1.48
aburner2g,1.48
aoh,29.05
superbon,0.02
superbona,0.02
agentx1,0.06
agentx2,0.07
agentx3,0.07
agentx4,0.07
aodk,11.36
agressb,0.15
agress,0.15
koshien,2
airass,3.15
airattck,0.99
airattcka,0.99
airbustrb,0.7
airbustrj,0.67
airbustr,0.66
aircombj,3.1
aircomb,3.13
airco22b,24.66
airdueljm72,1.08
airduelu,0.87
airduelm72,1.08
airduel,0.87
agallet,7.02
agalleth,7.02
agalletk,7.02
agalleta,7.02
agalletah,7.02
agalletak,7.02
agalletat,7.02
agalletau,7.02
agallett,7.02
agalletu,7.02
ainfernoj,1.1
ainfernou,1.1
ainferno,1.1
airrace,0.05
airraid,0.05
arescuej,4.87
arescueu,4.87
arescue,4.87
airtrixo,42.73
airtrix,42.73
airwlkrs,10.71
alpilotj,50.54
alpilot,41.29
airwolf,0.08
airwolfa,0.08
ajax,1.29
ajaxj,1.27
ausfache,76.42
akazukin,0.04
akkaarrh,0.03
akkanvdr,4.26
akumajoun,0.9
akumajou,0.9
agalletj,7.02
agalletaj,7.02
aladmdb,1.14
albatross,0.52
alcon,0.15
alexkidd1,0.37
alexkidd,0.29
alibaba,0.02
alienar,0.02
alienaru,0.02
alienchac,10.94
aliencha,10.88
aliencr,0.15
alienfnta,46.93
alienfnt,46.92
alinvade,0
alieninv,0.01
alieninvp2,0.01
aliensec,0.08
astormbl,2.03
astormb2,2.09
astormjd,2.03
astormj,2.09
mt_astrm,0.4
astormud,2.03
astormu,2.09
astorm,2.06
astorm3d,2.03
astorm3,2.09
mt_asyn,0.16
aliensynjo,0.5
aliensyn2,0.51
aliensyn3,0.51
aliensyn,0.45
aliensyn5,0.51
aliensynj,0.51
aliensyn7,0.47
avspa,8.55
avspd,8.29
avsp,8.55
avsph,8.55
avspj,8.55
avspu,8.55
alien3j,9.32
alien3u,9.35
alien3,9.35
aliensa,1.43
aliensj,1.43
aliensj2,1.43
aliensu,1.44
aliens,1.44
aliens2,1.44
aliens3,1.44
aliens4,1.44
aafbb,0.53
aafbc,0.53
aafbd2p,0.53
aafb,0.51
aafootb,0.08
znpwfvt,17.26
alleymas,0.1
aligatorp,8.27
aligators,8.41
aligatoruna,8.42
aligatorun,8.42
aligator,8.41
shettle,0.03
alphaho,0.01
alphamis,0.12
alpham2,4.85
alpham2p,4.91
alphaone,0.05
alphaonea,0.05
alpha1v,0.02
alpinerjc,21.03
alpinerc,20.95
alpinerd,20.95
alpinr2a,24.22
alpinr2b,24.22
alpine,0.03
alpinea,0.03
alpines,17.41
altair,0.01
altair2,0.01
altbeastbl2,0.72
altbeastbl,0.71
mt_beast,0.35
altbeast2,0.83
altbeast4,0.83
altbeast5d,0.81
altbeast5,0.85
altbeast6,0.81
altbeast,0.81
maze,0
ambush,0.03
ambushh,0.03
ambushj,0.03
ambushv,0.03
anteatergg,0.01
anteaterg,0.01
amerdart,1.02
amerdart2,1.02
amerdart3,1.02
horshoes,0.26
asoccer,0.1
amspdwy,0.03
amspdwya,0.02
amerug,0.01
amidar,0.02
amidarb,0.02
amidarb2,0.01
amidarc,0.01
amidar1,0.02
amidaro,0.02
amidars,0.02
amidaru,0.02
amigo,0.02
amigo2,0.02
androdun,3.49
androidpo,0.09
androidp,0.09
andromed,0.01
angelkds,0.22
cadanglr,0.04
aking,42.84
anmlbskta,43.84
anmlbskt,15.88
animaljrs,1.29
animechmp,20.57
anteater,0.01
kovshxas,22.4
apache3b,1.03
apache3a,1.03
apache3,1.03
apbf,0.73
apbg,0.73
apb1,0.73
apb2,0.73
apb3,0.73
apb4,0.73
apb5,0.73
apb6,0.73
apb,0.73
aponow,0.02
appoooh,0.12
aquajackj,2.31
aquajacku,2.31
aquajack,2.31
aquajet,29.37
aquarush,11.53
aquariumj,0.97
aquarium,0.97
arabian,0.04
arabiana,0.04
arabfgtj,8.66
arabfgtu,8.66
arabfgt,8.66
arabianmu,4.19
arabianmj,4.19
arabianm,4.19
aracnis,0.02
aracnisa,0.02
arbalest,2
arcadecl,0.96
arcadian,6.16
acheart,103.98
acheartf,196.97
archrivlb,0.34
archrivla,0.34
archrivl,0.34
area51a,0.62
area51,0.61
area51ta,0.62
area51t,0.62
a51mxr3ka,0.28
a51mxr3k,0.28
area51mx,0.29
a51site4a,0.13
